 WARN [2017-04-19 19:03:19,460] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-04-19 19:03:20,802] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-04-19 19:03:20,808] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-04-20 14:33:04,677] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-04-20 14:33:04,704] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-04-20 14:33:04,706] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-04-21 21:47:45,074] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-04-21 21:47:47,353] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-04-21 21:47:47,355] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-05-03 15:33:38,156] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-05-03 15:33:38,199] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-05-03 15:33:38,200] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-05-05 10:57:17,484] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-05-05 10:57:17,514] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-05-05 10:57:17,514] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-05-29 12:54:01,926] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-05-29 12:54:01,956] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-05-29 12:54:01,956] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-06-05 09:38:58,743] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-06-05 09:39:03,344] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-06-05 09:39:03,346] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-06-08 11:10:46,446] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-06-08 11:10:47,736] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-06-08 11:10:47,736] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-06-19 09:51:54,272] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-06-19 09:51:58,873] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-06-19 09:51:58,875] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-06-20 16:11:49,032] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-06-20 16:11:49,062] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-06-20 16:11:49,062] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-06-21 09:55:30,180] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-06-21 09:55:34,470] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-06-21 09:55:34,485] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-06-24 18:01:34,908] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-06-24 18:01:34,990] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-06-24 18:01:34,991] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-07-10 08:48:25,058] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-07-10 08:48:28,776] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-07-10 08:48:28,777] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-08-07 18:37:57,060] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-08-07 18:37:57,083] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-08-07 18:37:57,086] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-08-08 14:47:57,961] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-08-08 14:47:57,983] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-08-08 14:47:57,984] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-08-09 11:04:22,016] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-08-09 11:04:22,040] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-08-09 11:04:22,041] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-08-11 22:36:13,769] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-08-11 22:36:15,249] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-08-11 22:36:15,251] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-09-14 13:20:49,298] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-09-14 13:20:49,319] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-09-14 13:20:49,320] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2017-09-20 09:03:40,857] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2017-09-20 09:03:42,134] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2017-09-20 09:03:42,135] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
